,a_img,a_embedding_pemiu128,b_img,b_embedding_pemiu128,genuine,a_embedding_reconstructed128,cos_sim_a_pemiu_a_pemiu_reconstructed128
0,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0001.png,../data/features_cleaner_pemiu128/Abel_Pacheco_0001.npy,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0004.png,../data/features_cleaner_pemiu128/Abel_Pacheco_0004.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0000/Abel_Pacheco_0001.npy,0.7355832215706803
1,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0001.png,../data/features_cleaner_pemiu128/Akhmed_Zakayev_0001.npy,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0003.png,../data/features_cleaner_pemiu128/Akhmed_Zakayev_0003.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0001/Akhmed_Zakayev_0001.npy,0.868533379102912
2,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0002.png,../data/features_cleaner_pemiu128/Akhmed_Zakayev_0002.npy,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0003.png,../data/features_cleaner_pemiu128/Akhmed_Zakayev_0003.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0002/Akhmed_Zakayev_0002.npy,0.8059635998252421
3,../data/lfw_align/Amber_Tamblyn/Amber_Tamblyn_0001.png,../data/features_cleaner_pemiu128/Amber_Tamblyn_0001.npy,../data/lfw_align/Amber_Tamblyn/Amber_Tamblyn_0002.png,../data/features_cleaner_pemiu128/Amber_Tamblyn_0002.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0003/Amber_Tamblyn_0001.npy,0.7337846149393866
4,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.png,../data/features_cleaner_pemiu128/Anders_Fogh_Rasmussen_0001.npy,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.png,../data/features_cleaner_pemiu128/Anders_Fogh_Rasmussen_0003.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0004/Anders_Fogh_Rasmussen_0001.npy,0.7633253884363234
5,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.png,../data/features_cleaner_pemiu128/Anders_Fogh_Rasmussen_0001.npy,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.png,../data/features_cleaner_pemiu128/Anders_Fogh_Rasmussen_0004.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0005/Anders_Fogh_Rasmussen_0001.npy,0.6826934213315718
6,../data/lfw_align/Angela_Bassett/Angela_Bassett_0001.png,../data/features_cleaner_pemiu128/Angela_Bassett_0001.npy,../data/lfw_align/Angela_Bassett/Angela_Bassett_0005.png,../data/features_cleaner_pemiu128/Angela_Bassett_0005.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0006/Angela_Bassett_0001.npy,0.7671422791408463
7,../data/lfw_align/Angela_Bassett/Angela_Bassett_0002.png,../data/features_cleaner_pemiu128/Angela_Bassett_0002.npy,../data/lfw_align/Angela_Bassett/Angela_Bassett_0005.png,../data/features_cleaner_pemiu128/Angela_Bassett_0005.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0007/Angela_Bassett_0002.npy,0.6562502757262383
8,../data/lfw_align/Angela_Bassett/Angela_Bassett_0003.png,../data/features_cleaner_pemiu128/Angela_Bassett_0003.npy,../data/lfw_align/Angela_Bassett/Angela_Bassett_0004.png,../data/features_cleaner_pemiu128/Angela_Bassett_0004.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0008/Angela_Bassett_0003.npy,0.6669794458155368
9,../data/lfw_align/Ann_Veneman/Ann_Veneman_0003.png,../data/features_cleaner_pemiu128/Ann_Veneman_0003.npy,../data/lfw_align/Ann_Veneman/Ann_Veneman_0005.png,../data/features_cleaner_pemiu128/Ann_Veneman_0005.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0009/Ann_Veneman_0003.npy,0.8591905655644033
10,../data/lfw_align/Ann_Veneman/Ann_Veneman_0006.png,../data/features_cleaner_pemiu128/Ann_Veneman_0006.npy,../data/lfw_align/Ann_Veneman/Ann_Veneman_0010.png,../data/features_cleaner_pemiu128/Ann_Veneman_0010.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0010/Ann_Veneman_0006.npy,0.7524228719839685
11,../data/lfw_align/Ann_Veneman/Ann_Veneman_0010.png,../data/features_cleaner_pemiu128/Ann_Veneman_0010.npy,../data/lfw_align/Ann_Veneman/Ann_Veneman_0011.png,../data/features_cleaner_pemiu128/Ann_Veneman_0011.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0011/Ann_Veneman_0010.npy,0.5986005463904782
12,../data/lfw_align/Anthony_Fauci/Anthony_Fauci_0001.png,../data/features_cleaner_pemiu128/Anthony_Fauci_0001.npy,../data/lfw_align/Anthony_Fauci/Anthony_Fauci_0002.png,../data/features_cleaner_pemiu128/Anthony_Fauci_0002.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0012/Anthony_Fauci_0001.npy,0.8375335942899177
13,../data/lfw_align/Antony_Leung/Antony_Leung_0001.png,../data/features_cleaner_pemiu128/Antony_Leung_0001.npy,../data/lfw_align/Antony_Leung/Antony_Leung_0002.png,../data/features_cleaner_pemiu128/Antony_Leung_0002.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0013/Antony_Leung_0001.npy,0.8038154834171412
14,../data/lfw_align/Antony_Leung/Antony_Leung_0002.png,../data/features_cleaner_pemiu128/Antony_Leung_0002.npy,../data/lfw_align/Antony_Leung/Antony_Leung_0003.png,../data/features_cleaner_pemiu128/Antony_Leung_0003.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0014/Antony_Leung_0002.npy,0.7667008324989427
15,../data/lfw_align/Anwar_Ibrahim/Anwar_Ibrahim_0001.png,../data/features_cleaner_pemiu128/Anwar_Ibrahim_0001.npy,../data/lfw_align/Anwar_Ibrahim/Anwar_Ibrahim_0002.png,../data/features_cleaner_pemiu128/Anwar_Ibrahim_0002.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0015/Anwar_Ibrahim_0001.npy,0.6680344618534602
16,../data/lfw_align/Augusto_Pinochet/Augusto_Pinochet_0001.png,../data/features_cleaner_pemiu128/Augusto_Pinochet_0001.npy,../data/lfw_align/Augusto_Pinochet/Augusto_Pinochet_0002.png,../data/features_cleaner_pemiu128/Augusto_Pinochet_0002.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0016/Augusto_Pinochet_0001.npy,0.8884422956908056
17,../data/lfw_align/Barbara_Brezigar/Barbara_Brezigar_0001.png,../data/features_cleaner_pemiu128/Barbara_Brezigar_0001.npy,../data/lfw_align/Barbara_Brezigar/Barbara_Brezigar_0002.png,../data/features_cleaner_pemiu128/Barbara_Brezigar_0002.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0017/Barbara_Brezigar_0001.npy,0.6804335326272198
18,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0001.png,../data/features_cleaner_pemiu128/Benjamin_Netanyahu_0001.npy,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0004.png,../data/features_cleaner_pemiu128/Benjamin_Netanyahu_0004.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0018/Benjamin_Netanyahu_0001.npy,0.7604520355165217
19,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0004.png,../data/features_cleaner_pemiu128/Benjamin_Netanyahu_0004.npy,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0005.png,../data/features_cleaner_pemiu128/Benjamin_Netanyahu_0005.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0019/Benjamin_Netanyahu_0004.npy,0.7736532976295837
20,../data/lfw_align/Bernard_Law/Bernard_Law_0002.png,../data/features_cleaner_pemiu128/Bernard_Law_0002.npy,../data/lfw_align/Bernard_Law/Bernard_Law_0003.png,../data/features_cleaner_pemiu128/Bernard_Law_0003.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0020/Bernard_Law_0002.npy,0.7010158227307582
21,../data/lfw_align/Bernard_Law/Bernard_Law_0003.png,../data/features_cleaner_pemiu128/Bernard_Law_0003.npy,../data/lfw_align/Bernard_Law/Bernard_Law_0004.png,../data/features_cleaner_pemiu128/Bernard_Law_0004.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0021/Bernard_Law_0003.npy,0.7661186285477004
22,../data/lfw_align/Bertrand_Bonello/Bertrand_Bonello_0001.png,../data/features_cleaner_pemiu128/Bertrand_Bonello_0001.npy,../data/lfw_align/Bertrand_Bonello/Bertrand_Bonello_0002.png,../data/features_cleaner_pemiu128/Bertrand_Bonello_0002.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0022/Bertrand_Bonello_0001.npy,0.710717800616351
23,../data/lfw_align/Bill_Frist/Bill_Frist_0002.png,../data/features_cleaner_pemiu128/Bill_Frist_0002.npy,../data/lfw_align/Bill_Frist/Bill_Frist_0009.png,../data/features_cleaner_pemiu128/Bill_Frist_0009.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0023/Bill_Frist_0002.npy,0.770544388531314
24,../data/lfw_align/Bill_Frist/Bill_Frist_0004.png,../data/features_cleaner_pemiu128/Bill_Frist_0004.npy,../data/lfw_align/Bill_Frist/Bill_Frist_0005.png,../data/features_cleaner_pemiu128/Bill_Frist_0005.npy,True,../data/features_cleaner_pemiu128_reconstructed_genuine/0024/Bill_Frist_0004.npy,0.615897189247074
