,a_img,a_embedding_pemiu,b_img,b_embedding_pemiu,genuine,a_embedding_reconstructed,cos_sim_a_pemiu_a_pemiu_reconstructed
300,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner_pemiu/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Dean_Barker/Dean_Barker_0001.png,../data/features_cleaner_pemiu/Dean_Barker_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0300/Abdel_Madi_Shabneh_0001.npy,0.4265806567011317
301,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner_pemiu/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Giancarlo_Fisichella/Giancarlo_Fisichella_0001.png,../data/features_cleaner_pemiu/Giancarlo_Fisichella_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0301/Abdel_Madi_Shabneh_0001.npy,0.42130169646663723
302,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner_pemiu/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Mikhail_Gorbachev/Mikhail_Gorbachev_0001.png,../data/features_cleaner_pemiu/Mikhail_Gorbachev_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0302/Abdel_Madi_Shabneh_0001.npy,0.46646986646794464
303,../data/lfw_align/Abdul_Rahman/Abdul_Rahman_0001.png,../data/features_cleaner_pemiu/Abdul_Rahman_0001.npy,../data/lfw_align/Portia_de_Rossi/Portia_de_Rossi_0001.png,../data/features_cleaner_pemiu/Portia_de_Rossi_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0303/Abdul_Rahman_0001.npy,0.4715819474728717
304,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0001.png,../data/features_cleaner_pemiu/Abel_Pacheco_0001.npy,../data/lfw_align/Jong_Thae_Hwa/Jong_Thae_Hwa_0002.png,../data/features_cleaner_pemiu/Jong_Thae_Hwa_0002.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0304/Abel_Pacheco_0001.npy,0.45428519637342424
305,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0002.png,../data/features_cleaner_pemiu/Abel_Pacheco_0002.npy,../data/lfw_align/Jean-Francois_Lemounier/Jean-Francois_Lemounier_0001.png,../data/features_cleaner_pemiu/Jean-Francois_Lemounier_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0305/Abel_Pacheco_0002.npy,0.4468576424939978
306,../data/lfw_align/Afton_Smith/Afton_Smith_0001.png,../data/features_cleaner_pemiu/Afton_Smith_0001.npy,../data/lfw_align/Dwayne_Wade/Dwayne_Wade_0001.png,../data/features_cleaner_pemiu/Dwayne_Wade_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0306/Afton_Smith_0001.npy,0.45309757085005614
307,../data/lfw_align/Ahmad_Jbarah/Ahmad_Jbarah_0001.png,../data/features_cleaner_pemiu/Ahmad_Jbarah_0001.npy,../data/lfw_align/James_Comey/James_Comey_0001.png,../data/features_cleaner_pemiu/James_Comey_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0307/Ahmad_Jbarah_0001.npy,0.45159168335645156
308,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0002.png,../data/features_cleaner_pemiu/Akhmed_Zakayev_0002.npy,../data/lfw_align/Donna_Morrissey/Donna_Morrissey_0001.png,../data/features_cleaner_pemiu/Donna_Morrissey_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0308/Akhmed_Zakayev_0002.npy,0.4282045312243645
309,../data/lfw_align/Alan_Dershowitz/Alan_Dershowitz_0001.png,../data/features_cleaner_pemiu/Alan_Dershowitz_0001.npy,../data/lfw_align/Bertrand_Bonello/Bertrand_Bonello_0001.png,../data/features_cleaner_pemiu/Bertrand_Bonello_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0309/Alan_Dershowitz_0001.npy,0.4725870589530094
310,../data/lfw_align/Alanis_Morissette/Alanis_Morissette_0001.png,../data/features_cleaner_pemiu/Alanis_Morissette_0001.npy,../data/lfw_align/Martin_Cauchon/Martin_Cauchon_0001.png,../data/features_cleaner_pemiu/Martin_Cauchon_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0310/Alanis_Morissette_0001.npy,0.4339970827048431
311,../data/lfw_align/Alexander_Lukashenko/Alexander_Lukashenko_0001.png,../data/features_cleaner_pemiu/Alexander_Lukashenko_0001.npy,../data/lfw_align/Heather_Chinnock/Heather_Chinnock_0001.png,../data/features_cleaner_pemiu/Heather_Chinnock_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0311/Alexander_Lukashenko_0001.npy,0.445541824406147
312,../data/lfw_align/Alfonso_Cuaron/Alfonso_Cuaron_0001.png,../data/features_cleaner_pemiu/Alfonso_Cuaron_0001.npy,../data/lfw_align/Jason_Priestley/Jason_Priestley_0001.png,../data/features_cleaner_pemiu/Jason_Priestley_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0312/Alfonso_Cuaron_0001.npy,0.45534250982249647
313,../data/lfw_align/Alfonso_Cuaron/Alfonso_Cuaron_0001.png,../data/features_cleaner_pemiu/Alfonso_Cuaron_0001.npy,../data/lfw_align/Patty_Schnyder/Patty_Schnyder_0002.png,../data/features_cleaner_pemiu/Patty_Schnyder_0002.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0313/Alfonso_Cuaron_0001.npy,0.4158429736999673
314,../data/lfw_align/Alfonso_Soriano/Alfonso_Soriano_0001.png,../data/features_cleaner_pemiu/Alfonso_Soriano_0001.npy,../data/lfw_align/Bill_Nelson/Bill_Nelson_0002.png,../data/features_cleaner_pemiu/Bill_Nelson_0002.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0314/Alfonso_Soriano_0001.npy,0.43637524656648263
315,../data/lfw_align/Alfonso_Soriano/Alfonso_Soriano_0001.png,../data/features_cleaner_pemiu/Alfonso_Soriano_0001.npy,../data/lfw_align/Julio_De_Brun/Julio_De_Brun_0001.png,../data/features_cleaner_pemiu/Julio_De_Brun_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0315/Alfonso_Soriano_0001.npy,0.4637028089940237
316,../data/lfw_align/Alfonso_Soriano/Alfonso_Soriano_0001.png,../data/features_cleaner_pemiu/Alfonso_Soriano_0001.npy,../data/lfw_align/Patty_Schnyder/Patty_Schnyder_0003.png,../data/features_cleaner_pemiu/Patty_Schnyder_0003.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0316/Alfonso_Soriano_0001.npy,0.4193249053476364
317,../data/lfw_align/Alonzo_Mourning/Alonzo_Mourning_0001.png,../data/features_cleaner_pemiu/Alonzo_Mourning_0001.npy,../data/lfw_align/Cecilia_Cheung/Cecilia_Cheung_0001.png,../data/features_cleaner_pemiu/Cecilia_Cheung_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0317/Alonzo_Mourning_0001.npy,0.42823999080281266
318,../data/lfw_align/Amber_Tamblyn/Amber_Tamblyn_0002.png,../data/features_cleaner_pemiu/Amber_Tamblyn_0002.npy,../data/lfw_align/Benjamin_Netanyahu/Benjamin_Netanyahu_0001.png,../data/features_cleaner_pemiu/Benjamin_Netanyahu_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0318/Amber_Tamblyn_0002.npy,0.4698195181700646
319,../data/lfw_align/Amporn_Falise/Amporn_Falise_0001.png,../data/features_cleaner_pemiu/Amporn_Falise_0001.npy,../data/lfw_align/Joe_Pantoliano/Joe_Pantoliano_0001.png,../data/features_cleaner_pemiu/Joe_Pantoliano_0001.npy,False,../data/features_cleaner_pemiu16_reconstructed_impostor/0319/Amporn_Falise_0001.npy,0.4500752422078226
