,a_img,a_embedding_pemiu64,b_img,b_embedding_pemiu64,genuine,a_embedding_reconstructed64,cos_sim_a_pemiu_a_pemiu_reconstructed64
300,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner_pemiu64/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Dean_Barker/Dean_Barker_0001.png,../data/features_cleaner_pemiu64/Dean_Barker_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0300/Abdel_Madi_Shabneh_0001.npy,0.1628538312846473
301,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner_pemiu64/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Giancarlo_Fisichella/Giancarlo_Fisichella_0001.png,../data/features_cleaner_pemiu64/Giancarlo_Fisichella_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0301/Abdel_Madi_Shabneh_0001.npy,0.13554563835460748
302,../data/lfw_align/Abdel_Madi_Shabneh/Abdel_Madi_Shabneh_0001.png,../data/features_cleaner_pemiu64/Abdel_Madi_Shabneh_0001.npy,../data/lfw_align/Mikhail_Gorbachev/Mikhail_Gorbachev_0001.png,../data/features_cleaner_pemiu64/Mikhail_Gorbachev_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0302/Abdel_Madi_Shabneh_0001.npy,0.112524388835819
303,../data/lfw_align/Abdul_Rahman/Abdul_Rahman_0001.png,../data/features_cleaner_pemiu64/Abdul_Rahman_0001.npy,../data/lfw_align/Portia_de_Rossi/Portia_de_Rossi_0001.png,../data/features_cleaner_pemiu64/Portia_de_Rossi_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0303/Abdul_Rahman_0001.npy,0.11754818110394344
304,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0001.png,../data/features_cleaner_pemiu64/Abel_Pacheco_0001.npy,../data/lfw_align/Jong_Thae_Hwa/Jong_Thae_Hwa_0002.png,../data/features_cleaner_pemiu64/Jong_Thae_Hwa_0002.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0304/Abel_Pacheco_0001.npy,0.13448917538525376
305,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0002.png,../data/features_cleaner_pemiu64/Abel_Pacheco_0002.npy,../data/lfw_align/Jean-Francois_Lemounier/Jean-Francois_Lemounier_0001.png,../data/features_cleaner_pemiu64/Jean-Francois_Lemounier_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0305/Abel_Pacheco_0002.npy,0.14663369373522472
306,../data/lfw_align/Afton_Smith/Afton_Smith_0001.png,../data/features_cleaner_pemiu64/Afton_Smith_0001.npy,../data/lfw_align/Dwayne_Wade/Dwayne_Wade_0001.png,../data/features_cleaner_pemiu64/Dwayne_Wade_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0306/Afton_Smith_0001.npy,0.1491054803241757
307,../data/lfw_align/Ahmad_Jbarah/Ahmad_Jbarah_0001.png,../data/features_cleaner_pemiu64/Ahmad_Jbarah_0001.npy,../data/lfw_align/James_Comey/James_Comey_0001.png,../data/features_cleaner_pemiu64/James_Comey_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0307/Ahmad_Jbarah_0001.npy,0.1419647419045199
308,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0002.png,../data/features_cleaner_pemiu64/Akhmed_Zakayev_0002.npy,../data/lfw_align/Donna_Morrissey/Donna_Morrissey_0001.png,../data/features_cleaner_pemiu64/Donna_Morrissey_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0308/Akhmed_Zakayev_0002.npy,0.10405048694042036
309,../data/lfw_align/Alan_Dershowitz/Alan_Dershowitz_0001.png,../data/features_cleaner_pemiu64/Alan_Dershowitz_0001.npy,../data/lfw_align/Bertrand_Bonello/Bertrand_Bonello_0001.png,../data/features_cleaner_pemiu64/Bertrand_Bonello_0001.npy,False,../data/features_cleaner_pemiu64_reconstructed_impostor/0309/Alan_Dershowitz_0001.npy,0.2255242967323106
