,lfw_image,lfw_embedding,lfw_image_pemiu,lfw_embedding_pemiu,lfw_filename_raw,gender_official,gender_insightface,gender_insightface_pemiu
0,../data/lfw_align/Aaron_Eckhart/Aaron_Eckhart_0001.png,../data/features_cleaner/Aaron_Eckhart_0001.npy,./sample_images_lfw_pemiu/Aaron_Eckhart_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Eckhart_0001.npy,Aaron_Eckhart_0001.png,M,M,F
1,../data/lfw_align/Aaron_Guiel/Aaron_Guiel_0001.png,../data/features_cleaner/Aaron_Guiel_0001.npy,./sample_images_lfw_pemiu/Aaron_Guiel_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Guiel_0001.npy,Aaron_Guiel_0001.png,M,M,F
2,../data/lfw_align/Aaron_Patterson/Aaron_Patterson_0001.png,../data/features_cleaner/Aaron_Patterson_0001.npy,./sample_images_lfw_pemiu/Aaron_Patterson_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Patterson_0001.npy,Aaron_Patterson_0001.png,M,M,F
3,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0001.png,../data/features_cleaner/Aaron_Peirsol_0001.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0001.npy,Aaron_Peirsol_0001.png,M,M,M
4,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0002.png,../data/features_cleaner/Aaron_Peirsol_0002.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0002_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0002.npy,Aaron_Peirsol_0002.png,M,M,M
5,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0003.png,../data/features_cleaner/Aaron_Peirsol_0003.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0003_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0003.npy,Aaron_Peirsol_0003.png,M,M,M
6,../data/lfw_align/Aaron_Peirsol/Aaron_Peirsol_0004.png,../data/features_cleaner/Aaron_Peirsol_0004.npy,./sample_images_lfw_pemiu/Aaron_Peirsol_0004_pemiu.png,../data/features_cleaner_pemiu/Aaron_Peirsol_0004.npy,Aaron_Peirsol_0004.png,M,M,F
7,../data/lfw_align/Aaron_Pena/Aaron_Pena_0001.png,../data/features_cleaner/Aaron_Pena_0001.npy,./sample_images_lfw_pemiu/Aaron_Pena_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Pena_0001.npy,Aaron_Pena_0001.png,M,M,F
8,../data/lfw_align/Aaron_Sorkin/Aaron_Sorkin_0001.png,../data/features_cleaner/Aaron_Sorkin_0001.npy,./sample_images_lfw_pemiu/Aaron_Sorkin_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Sorkin_0001.npy,Aaron_Sorkin_0001.png,M,M,M
9,../data/lfw_align/Aaron_Sorkin/Aaron_Sorkin_0002.png,../data/features_cleaner/Aaron_Sorkin_0002.npy,./sample_images_lfw_pemiu/Aaron_Sorkin_0002_pemiu.png,../data/features_cleaner_pemiu/Aaron_Sorkin_0002.npy,Aaron_Sorkin_0002.png,M,M,M
10,../data/lfw_align/Aaron_Tippin/Aaron_Tippin_0001.png,../data/features_cleaner/Aaron_Tippin_0001.npy,./sample_images_lfw_pemiu/Aaron_Tippin_0001_pemiu.png,../data/features_cleaner_pemiu/Aaron_Tippin_0001.npy,Aaron_Tippin_0001.png,M,M,F
11,../data/lfw_align/Abbas_Kiarostami/Abbas_Kiarostami_0001.png,../data/features_cleaner/Abbas_Kiarostami_0001.npy,./sample_images_lfw_pemiu/Abbas_Kiarostami_0001_pemiu.png,../data/features_cleaner_pemiu/Abbas_Kiarostami_0001.npy,Abbas_Kiarostami_0001.png,M,M,M
12,../data/lfw_align/Abba_Eban/Abba_Eban_0001.png,../data/features_cleaner/Abba_Eban_0001.npy,./sample_images_lfw_pemiu/Abba_Eban_0001_pemiu.png,../data/features_cleaner_pemiu/Abba_Eban_0001.npy,Abba_Eban_0001.png,M,M,M
13,../data/lfw_align/Abdel_Aziz_Al-Hakim/Abdel_Aziz_Al-Hakim_0001.png,../data/features_cleaner/Abdel_Aziz_Al-Hakim_0001.npy,./sample_images_lfw_pemiu/Abdel_Aziz_Al-Hakim_0001_pemiu.png,../data/features_cleaner_pemiu/Abdel_Aziz_Al-Hakim_0001.npy,Abdel_Aziz_Al-Hakim_0001.png,M,M,F
