,a_img,a_embedding,b_img,b_embedding,genuine,a_gender_lfw,a_gender_insightface,a_pemiu_img,a_pemiu_gender_insightface
0,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0001.png,../data/features_cleaner/Abel_Pacheco_0001.npy,../data/lfw_align/Abel_Pacheco/Abel_Pacheco_0004.png,../data/features_cleaner/Abel_Pacheco_0004.npy,True,M,M,sample_images/Abel_Pacheco_0001_pemiu.png,M
1,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0001.png,../data/features_cleaner/Akhmed_Zakayev_0001.npy,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0003.png,../data/features_cleaner/Akhmed_Zakayev_0003.npy,True,M,M,sample_images/Akhmed_Zakayev_0001_pemiu.png,F
2,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0002.png,../data/features_cleaner/Akhmed_Zakayev_0002.npy,../data/lfw_align/Akhmed_Zakayev/Akhmed_Zakayev_0003.png,../data/features_cleaner/Akhmed_Zakayev_0003.npy,True,M,M,sample_images/Akhmed_Zakayev_0002_pemiu.png,F
3,../data/lfw_align/Amber_Tamblyn/Amber_Tamblyn_0001.png,../data/features_cleaner/Amber_Tamblyn_0001.npy,../data/lfw_align/Amber_Tamblyn/Amber_Tamblyn_0002.png,../data/features_cleaner/Amber_Tamblyn_0002.npy,True,F,F,sample_images/Amber_Tamblyn_0001_pemiu.png,F
4,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.png,../data/features_cleaner/Anders_Fogh_Rasmussen_0001.npy,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0003.png,../data/features_cleaner/Anders_Fogh_Rasmussen_0003.npy,True,M,M,sample_images/Anders_Fogh_Rasmussen_0001_pemiu.png,F
5,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0001.png,../data/features_cleaner/Anders_Fogh_Rasmussen_0001.npy,../data/lfw_align/Anders_Fogh_Rasmussen/Anders_Fogh_Rasmussen_0004.png,../data/features_cleaner/Anders_Fogh_Rasmussen_0004.npy,True,M,M,sample_images/Anders_Fogh_Rasmussen_0001_pemiu.png,F
6,../data/lfw_align/Angela_Bassett/Angela_Bassett_0001.png,../data/features_cleaner/Angela_Bassett_0001.npy,../data/lfw_align/Angela_Bassett/Angela_Bassett_0005.png,../data/features_cleaner/Angela_Bassett_0005.npy,True,F,F,sample_images/Angela_Bassett_0001_pemiu.png,M
7,../data/lfw_align/Angela_Bassett/Angela_Bassett_0002.png,../data/features_cleaner/Angela_Bassett_0002.npy,../data/lfw_align/Angela_Bassett/Angela_Bassett_0005.png,../data/features_cleaner/Angela_Bassett_0005.npy,True,F,F,sample_images/Angela_Bassett_0002_pemiu.png,F
8,../data/lfw_align/Angela_Bassett/Angela_Bassett_0003.png,../data/features_cleaner/Angela_Bassett_0003.npy,../data/lfw_align/Angela_Bassett/Angela_Bassett_0004.png,../data/features_cleaner/Angela_Bassett_0004.npy,True,F,F,sample_images/Angela_Bassett_0003_pemiu.png,F
9,../data/lfw_align/Ann_Veneman/Ann_Veneman_0003.png,../data/features_cleaner/Ann_Veneman_0003.npy,../data/lfw_align/Ann_Veneman/Ann_Veneman_0005.png,../data/features_cleaner/Ann_Veneman_0005.npy,True,F,F,sample_images/Ann_Veneman_0003_pemiu.png,M
