filename,MAE,Cosine Distance
Abel_Pacheco_0001,0.22442063689231873,0.614
Akhmed_Zakayev_0001,0.2154865562915802,0.452
Akhmed_Zakayev_0002,0.21968816220760345,0.462
Amber_Tamblyn_0001,0.20528274774551392,0.437
Anders_Fogh_Rasmussen_0001,0.25761255621910095,0.441
Angela_Bassett_0001,0.17324548959732056,0.322
Angela_Bassett_0002,0.21492590010166168,0.347
Angela_Bassett_0003,0.1802627295255661,0.288
Ann_Veneman_0003,0.18736080825328827,0.641
Ann_Veneman_0006,0.22845420241355896,0.657
Ann_Veneman_0010,0.1800818294286728,0.487
Anthony_Fauci_0001,0.1998114287853241,0.476
Antony_Leung_0001,0.2326098382472992,0.333
Antony_Leung_0002,0.2749004364013672,0.328
Anwar_Ibrahim_0001,0.23846299946308136,0.484
Augusto_Pinochet_0001,0.259992778301239,0.462
Barbara_Brezigar_0001,0.1708177626132965,0.534
Benjamin_Netanyahu_0001,0.1995907574892044,0.578
Benjamin_Netanyahu_0004,0.1903361827135086,0.583
Bernard_Law_0002,0.23782740533351898,0.343
Bernard_Law_0003,0.23217643797397614,0.313
Bertrand_Bonello_0001,0.2212458699941635,0.504
Bill_Frist_0002,0.2036733329296112,0.245
Bill_Frist_0004,0.16270771622657776,0.43
Bob_Graham_0002,0.16859771311283112,0.592
Bob_Graham_0003,0.26142385601997375,0.344
Bob_Graham_0004,0.18856465816497803,0.475
Bob_Graham_0005,0.20181584358215332,0.489
Boris_Becker_0002,0.2109639197587967,0.339
Brad_Johnson_0001,0.1694510281085968,0.476
Brad_Johnson_0002,0.2142510563135147,0.422
Brian_Griese_0001,0.24179041385650635,0.533
Candice_Bergen_0001,0.19347639381885529,0.389
Candice_Bergen_0002,0.24027438461780548,0.318
Carla_Myers_0001,0.18239246308803558,0.573
Cathy_Freeman_0001,0.2093757688999176,0.452
Chang_Dae-whan_0001,0.2565814256668091,0.329
Charles_Grassley_0001,0.26977041363716125,0.539
Clare_Short_0001,0.19638247787952423,0.457
Corinne_Coman_0001,0.14797699451446533,0.4
Dai_Bachtiar_0001,0.2597392499446869,0.388
Dale_Earnhardt_Jr_0001,0.20086252689361572,0.427
David_Caruso_0001,0.2072223722934723,0.602
Demi_Moore_0001,0.25088903307914734,0.37
Dick_Vermeil_0001,0.231972336769104,0.239
Doris_Roberts_0001,0.16892215609550476,0.329
Drew_Barrymore_0001,0.21079076826572418,0.146
Edmund_Stoiber_0004,0.2595142424106598,0.477
Edmund_Stoiber_0005,0.18733195960521698,0.381
Edmund_Stoiber_0007,0.17748495936393738,0.216
Edmund_Stoiber_0009,0.19612082839012146,0.401
Elinor_Caplan_0001,0.2519323527812958,0.429
Emmanuelle_Beart_0001,0.1587357223033905,0.586
Federico_Trillo_0001,0.21605338156223297,0.252
Federico_Trillo_0002,0.23789970576763153,0.336
Francis_Ford_Coppola_0001,0.20465350151062012,0.426
Fred_Thompson_0001,0.28704833984375,0.46
Fred_Thompson_0002,0.24005252122879028,0.488
Garry_Trudeau_0001,0.19483321905136108,0.463
Gary_Williams_0001,0.2615979313850403,0.328
Gene_Robinson_0001,0.19371439516544342,0.415
Gene_Robinson_0002,0.27092477679252625,0.424
George_Galloway_0001,0.21167674660682678,0.595
George_Galloway_0002,0.2154538631439209,0.595
Geraldine_Chaplin_0001,0.2197759747505188,0.355
Geraldine_Chaplin_0003,0.20065854489803314,0.506
Gerardo_Gambala_0001,0.2695069909095764,0.56
Gian_Marco_0001,0.20365042984485626,0.612
Gian_Marco_0002,0.2731356620788574,0.567
Gillian_Anderson_0001,0.22412805259227753,0.522
Gordon_Brown_0006,0.22125695645809174,0.532
Gordon_Brown_0010,0.2497393786907196,0.418
Grant_Hackett_0001,0.2768905460834503,0.536
Gray_Davis_0007,0.19023217260837555,0.463
Gray_Davis_0021,0.2626788020133972,0.316
Gregg_Popovich_0001,0.2734811305999756,0.335
Gregg_Popovich_0003,0.2044517546892166,0.516
Guy_Ritchie_0001,0.23399342596530914,0.043
Hamzah_Haz_0001,0.23655956983566284,0.383
Harbhajan_Singh_0001,0.31219109892845154,0.396
Hootie_Johnson_0001,0.23845462501049042,0.311
Hugo_Chavez_0002,0.23999075591564178,0.546
Hugo_Chavez_0027,0.25769680738449097,0.5
Hugo_Chavez_0036,0.3381120562553406,0.582
Hugo_Chavez_0041,0.24709582328796387,0.551
Hugo_Chavez_0045,0.19860897958278656,0.555
Isaiah_Washington_0001,0.29966726899147034,0.279
Jack_Grubman_0001,0.24576270580291748,0.515
Jacques_Rogge_0001,0.25835752487182617,0.48
Jacques_Rogge_0003,0.22016437351703644,0.315
Jacques_Rogge_0004,0.17651672661304474,0.401
Jacques_Rogge_0005,0.17888019979000092,0.399
Jacques_Rogge_0006,0.2086355835199356,0.509
James_Caan_0001,0.2159656286239624,0.455
James_Caan_0002,0.2370043694972992,0.214
James_Jones_0001,0.1986067146062851,0.301
Jamling_Norgay_0001,0.2001340240240097,0.498
Janica_Kostelic_0001,0.21162232756614685,0.464
Jeanne_Moreau_0001,0.20801177620887756,0.403
Jeffrey_Archer_0001,0.222387433052063,0.361
Jennifer_Garner_0001,0.22926166653633118,0.455
Jennifer_Garner_0004,0.23348551988601685,0.362
Jennifer_Garner_0005,0.26726967096328735,0.466
Jennifer_Garner_0007,0.22199445962905884,0.468
Jennifer_Garner_0008,0.18792060017585754,0.513
Jeremy_Greenstock_0002,0.24339449405670166,0.365
Jeremy_Greenstock_0003,0.19345158338546753,0.451
Jeremy_Greenstock_0005,0.17163631319999695,0.404
Jeremy_Greenstock_0010,0.208616241812706,0.353
Jeremy_Greenstock_0017,0.2385639250278473,0.415
Jessica_Lange_0001,0.2200525552034378,0.451
Jimmy_Carter_0001,0.18471045792102814,0.568
Jimmy_Carter_0004,0.2013522833585739,0.414
Jimmy_Carter_0005,0.17768031358718872,0.403
Jimmy_Carter_0006,0.20914261043071747,0.566
Jodie_Foster_0001,0.14395608007907867,0.166
John_Manley_0001,0.18865598738193512,0.347
John_Manley_0002,0.2174312323331833,0.389
John_McCain_0002,0.2654821574687958,0.413
John_McCain_0003,0.29357007145881653,0.461
John_McCain_0006,0.27356380224227905,0.426
John_Snow_0003,0.1731010526418686,0.415
John_Snow_0004,0.261193186044693,0.48
John_Snow_0009,0.1958770453929901,0.351
Johnson_Panjaitan_0001,0.21332913637161255,0.539
Jorge_Castaneda_0001,0.2056458443403244,0.61
Jose_Serra_0001,0.19690319895744324,0.49
Jose_Serra_0002,0.25304484367370605,0.531
Jose_Serra_0003,0.19767142832279205,0.472
Jose_Serra_0006,0.31924012303352356,0.529
Jose_Theodore_0001,0.18062452971935272,0.3
Joseph_Blatter_0001,0.2597943842411041,0.116
Joseph_Ralston_0001,0.24573330581188202,0.5
Juan_Pablo_Montoya_0001,0.22534281015396118,0.631
Juan_Pablo_Montoya_0002,0.2098579704761505,0.57
Juan_Pablo_Montoya_0004,0.2188432663679123,0.647
Julianna_Margulies_0001,0.1967213749885559,0.436
Justin_Guarini_0001,0.17223037779331207,0.335
Justin_Guarini_0002,0.26909828186035156,0.496
Justine_Henin_0002,0.25369957089424133,0.545
Kate_Winslet_0001,0.20090539753437042,0.3
Kate_Winslet_0002,0.1700909435749054,0.536
Kathy_Winters_0001,0.19140928983688354,0.515
Kelvin_Sampson_0001,0.2167263925075531,0.393
Kevin_Stallings_0001,0.2342742681503296,0.331
Kim_Jong-Il_0002,0.23590975999832153,0.313
Kristin_Davis_0001,0.18046104907989502,0.474
Kristin_Davis_0002,0.23595911264419556,0.342
Lance_Armstrong_0001,0.2067873626947403,0.498
Lance_Armstrong_0005,0.19609752297401428,0.209
Lance_Armstrong_0007,0.22788147628307343,0.464
Lance_Armstrong_0010,0.21883496642112732,0.285
Lance_Armstrong_0014,0.22854484617710114,0.137
Laurent_Jalabert_0001,0.31599918007850647,0.321
Lindsey_Graham_0001,0.257500022649765,0.482
Lisa_Gottsegen_0001,0.1861076056957245,0.621
Lleyton_Hewitt_0001,0.23791298270225525,0.517
Lleyton_Hewitt_0016,0.227986678481102,0.404
Lleyton_Hewitt_0018,0.23987257480621338,0.231
Lleyton_Hewitt_0024,0.2809174060821533,0.433
Luis_Ernesto_Derbez_Bautista_0003,0.1702859252691269,0.457
Mario_Dumont_0001,0.18900072574615479,0.186
Mark_Wahlberg_0001,0.197997584939003,0.364
Mark_Wahlberg_0002,0.2482503056526184,0.366
Marlene_Weingartner_0001,0.20562681555747986,0.458
Martha_Bowen_0001,0.27183619141578674,0.646
Martin_Cauchon_0001,0.23107746243476868,0.462
Martin_Hoellwarth_0001,0.262815922498703,0.374
Martin_Sheen_0001,0.21311044692993164,0.369
Matthew_Broderick_0001,0.22480939328670502,0.261
Matthew_Broderick_0002,0.2701178193092346,0.567
Mike_Krzyzewski_0001,0.24850964546203613,0.499
Mikhail_Gorbachev_0001,0.21895407140254974,0.504
Monica_Bellucci_0001,0.23575542867183685,0.528
Monica_Bellucci_0002,0.22222431004047394,0.414
Naomi_Campbell_0001,0.2261543571949005,0.408
Nestor_Kirchner_0003,0.28051823377609253,0.384
Nestor_Kirchner_0012,0.1879100203514099,0.363
Nestor_Kirchner_0017,0.1778482049703598,0.404
Nicolas_Lapentti_0001,0.24378152191638947,0.523
Noah_Wyle_0002,0.2299230396747589,0.412
Nora_Bendijo_0001,0.22817251086235046,0.58
Nursultan_Nazarbayev_0001,0.21028046309947968,0.23
Pamela_Anderson_0001,0.1684313863515854,0.351
Patricia_Heaton_0001,0.18050488829612732,0.398
Patty_Schnyder_0001,0.2047578990459442,0.601
Patty_Schnyder_0002,0.1863810420036316,0.59
Patty_Schnyder_0003,0.19626882672309875,0.518
Paul_Bremer_0006,0.24950559437274933,0.403
Paul_Bremer_0007,0.33694708347320557,0.379
Paul_Bremer_0009,0.18151819705963135,0.453
Paul_Bremer_0014,0.24179574847221375,0.466
Paul_Sarbanes_0001,0.1724022477865219,0.314
Paul_Sarbanes_0002,0.1712639182806015,0.513
Paul_William_Hurley_0001,0.2093595564365387,0.303
Pervez_Musharraf_0001,0.23492473363876343,0.237
Pervez_Musharraf_0002,0.20604223012924194,0.249
Pervez_Musharraf_0003,0.2290213257074356,0.311
Pervez_Musharraf_0004,0.2676713764667511,0.354
Pervez_Musharraf_0005,0.3018195629119873,0.203
Phil_Gramm_0001,0.21791240572929382,0.308
Prince_Edward_0001,0.29105475544929504,0.316
Ricardo_Lagos_0003,0.2787242829799652,0.45
Ricardo_Lagos_0023,0.21574978530406952,0.412
Ricardo_Monasterio_0001,0.1863250434398651,0.559
Rich_Gannon_0001,0.21388289332389832,0.522
Rick_Perry_0001,0.18275882303714752,0.521
Rick_Perry_0002,0.21365852653980255,0.613
Rick_Perry_0003,0.23208947479724884,0.427
Robert_Bonner_0002,0.24369998276233673,0.379
Robert_Evans_0002,0.20490819215774536,0.527
Robert_Fico_0001,0.24081368744373322,0.426
Romano_Prodi_0003,0.31484824419021606,0.695
Roy_Moore_0002,0.2260769158601761,0.577
Roy_Moore_0003,0.21153832972049713,0.129
Sachiko_Yamada_0001,0.2607295513153076,0.527
Sachiko_Yamada_0002,0.2219657599925995,0.346
Saeb_Erekat_0001,0.23641490936279297,0.285
Sam_Bith_0001,0.17288585007190704,0.422
Sam_Bith_0002,0.17517100274562836,0.544
Sean_Hayes_0001,0.19056296348571777,0.549
Sergio_Garcia_0001,0.22163313627243042,0.412
Silvia_Farina_Elia_0001,0.27233776450157166,0.625
Steve_Ballmer_0001,0.26610758900642395,0.252
Stockard_Channing_0001,0.1959957778453827,0.367
Stockard_Channing_0002,0.1584884375333786,0.517
