filename,MAE,Cosine Distance
Aaron_Eckhart_0001,0.25262650847435,-0.053
Aaron_Guiel_0001,0.24637585878372192,-0.059
Aaron_Patterson_0001,0.17552731931209564,0.142
Aaron_Peirsol_0001,0.27170345187187195,-0.036
Aaron_Peirsol_0002,0.21871720254421234,-0.016
Aaron_Peirsol_0003,0.1802320033311844,-0.042
Aaron_Peirsol_0004,0.191603884100914,-0.017
Aaron_Pena_0001,0.3982083201408386,0.052
Aaron_Sorkin_0001,0.2984403967857361,0.05
Aaron_Sorkin_0002,0.16720706224441528,-0.024
Aaron_Tippin_0001,0.2625637650489807,0.002
Abbas_Kiarostami_0001,0.22235555946826935,0.085
Abba_Eban_0001,0.2102656215429306,0.124
Abdel_Aziz_Al-Hakim_0001,0.22479034960269928,0.044
Abdel_Madi_Shabneh_0001,0.23166902363300323,-0.05
Abdel_Nasser_Assidi_0001,0.22995734214782715,0.066
Abdel_Nasser_Assidi_0002,0.3312111496925354,-0.052
Abdoulaye_Wade_0001,0.3888685405254364,-0.052
Abdoulaye_Wade_0002,0.24100224673748016,0.018
Abdoulaye_Wade_0003,0.2298699915409088,0.049
Abdoulaye_Wade_0004,0.3261331021785736,0.048
Abdulaziz_Kamilov_0001,0.2859785556793213,0.128
Abdullah_0001,0.22503791749477386,0.076
Abdullah_0002,0.17490534484386444,0.032
Abdullah_0003,0.2719237208366394,-0.082
Abdullah_0004,0.22694750130176544,0.003
Abdullah_Ahmad_Badawi_0001,0.16065599024295807,-0.083
Abdullah_al-Attiyah_0001,0.4032150208950043,-0.003
Abdullah_al-Attiyah_0002,0.23552857339382172,-0.023
Abdullah_al-Attiyah_0003,0.26610347628593445,-0.118
Abdullah_Gul_0001,0.28794535994529724,0.017
Abdullah_Gul_0002,0.29944631457328796,0.02
Abdullah_Gul_0003,0.2567373216152191,0.036
Abdullah_Gul_0004,0.22927981615066528,0.097
Abdullah_Gul_0005,0.23818686604499817,-0.035
Abdullah_Gul_0006,0.2308112382888794,0.044
Abdullah_Gul_0007,0.2220834493637085,0.046
Abdullah_Gul_0008,0.18300014734268188,-0.047
Abdullah_Gul_0009,0.24977609515190125,0.143
Abdullah_Gul_0010,0.2652817368507385,-0.0
Abdullah_Gul_0011,0.26796823740005493,0.038
Abdullah_Gul_0012,0.3709616959095001,0.008
Abdullah_Gul_0013,0.23499251902103424,-0.07
Abdullah_Gul_0014,0.3138391375541687,0.092
Abdullah_Gul_0015,0.20661692321300507,0.099
Abdullah_Gul_0016,0.25505828857421875,-0.004
Abdullah_Gul_0017,0.32041454315185547,-0.048
Abdullah_Gul_0018,0.2916363775730133,-0.045
Abdullah_Gul_0019,0.2544504404067993,-0.008
Abdullah_Nasseef_0001,0.24119140207767487,-0.019
Abdullatif_Sener_0001,0.2506885230541229,0.224
Abdullatif_Sener_0002,0.23158778250217438,0.073
Abdul_Majeed_Shobokshi_0001,0.2481640726327896,0.024
Abdul_Rahman_0001,0.38853785395622253,-0.033
Abel_Aguilar_0001,0.24305829405784607,0.016
Abel_Pacheco_0001,0.24366025626659393,-0.05
Abel_Pacheco_0002,0.23677749931812286,-0.065
Abel_Pacheco_0003,0.25853022933006287,0.023
Abel_Pacheco_0004,0.2782720923423767,-0.02
Abid_Hamid_Mahmud_Al-Tikriti_0001,0.30256813764572144,0.008
Abid_Hamid_Mahmud_Al-Tikriti_0002,0.340958833694458,0.081
Abid_Hamid_Mahmud_Al-Tikriti_0003,0.3075309693813324,0.023
Abner_Martinez_0001,0.27023595571517944,0.063
Abraham_Foxman_0001,0.22874502837657928,0.091
Aby_Har-Even_0001,0.23181137442588806,0.058
Adam_Ant_0001,0.24012058973312378,-0.009
Adam_Freier_0001,0.2249707579612732,-0.061
Adam_Herbert_0001,0.2501564919948578,-0.038
Adam_Kennedy_0001,0.2783187925815582,-0.056
Adam_Mair_0001,0.3218129873275757,-0.026
Adam_Rich_0001,0.31856438517570496,0.067
Adam_Sandler_0001,0.2240300327539444,0.116
Adam_Sandler_0002,0.26897361874580383,0.043
Adam_Sandler_0003,0.28697049617767334,0.069
Adam_Sandler_0004,0.17878854274749756,0.101
Adam_Scott_0001,0.3044089376926422,-0.081
Adam_Scott_0002,0.2703593969345093,-0.001
Adelina_Avila_0001,0.2324727326631546,0.15
Adel_Al-Jubeir_0001,0.2700445353984833,0.032
Adel_Al-Jubeir_0002,0.28309741616249084,-0.024
Adel_Al-Jubeir_0003,0.22716820240020752,0.053
Adisai_Bodharamik_0001,0.26735448837280273,-0.029
Adolfo_Aguilar_Zinser_0001,0.20801423490047455,0.024
Adolfo_Aguilar_Zinser_0002,0.20407582819461823,0.046
