filename,MAE,Cosine Distance
0000/Abel_Pacheco_0001,0.24027548730373383,0.099
0001/Akhmed_Zakayev_0001,0.1811826080083847,0.139
0002/Akhmed_Zakayev_0002,0.19922935962677002,-0.003
0003/Amber_Tamblyn_0001,0.19764088094234467,-0.054
0004/Anders_Fogh_Rasmussen_0001,0.3741283118724823,0.066
0005/Anders_Fogh_Rasmussen_0001,0.3746841549873352,-0.018
0006/Angela_Bassett_0001,0.21638289093971252,-0.042
0007/Angela_Bassett_0002,0.306158185005188,-0.027
0008/Angela_Bassett_0003,0.22629481554031372,0.007
0009/Ann_Veneman_0003,0.22610245645046234,0.039
0010/Ann_Veneman_0006,0.33580487966537476,0.067
0011/Ann_Veneman_0010,0.19062460958957672,0.042
0012/Anthony_Fauci_0001,0.2029179185628891,0.168
0013/Antony_Leung_0001,0.21466533839702606,-0.044
0014/Antony_Leung_0002,0.2544195353984833,0.03
0015/Anwar_Ibrahim_0001,0.3026562035083771,0.09
0016/Augusto_Pinochet_0001,0.24405218660831451,-0.021
0017/Barbara_Brezigar_0001,0.23855063319206238,0.028
0018/Benjamin_Netanyahu_0001,0.2900790870189667,-0.048
0019/Benjamin_Netanyahu_0004,0.2048894166946411,0.042
0020/Bernard_Law_0002,0.2775382101535797,0.042
0021/Bernard_Law_0003,0.17738677561283112,0.15
0022/Bertrand_Bonello_0001,0.26820555329322815,0.043
0023/Bill_Frist_0002,0.21107199788093567,-0.047
0024/Bill_Frist_0004,0.225260928273201,0.033
0025/Bob_Graham_0002,0.2564770579338074,-0.033
0026/Bob_Graham_0003,0.27665993571281433,0.036
0027/Bob_Graham_0004,0.2197991907596588,0.11
0028/Bob_Graham_0005,0.2614862620830536,-0.109
0029/Boris_Becker_0002,0.27766045928001404,0.066
0030/Brad_Johnson_0001,0.22546684741973877,-0.011
0031/Brad_Johnson_0002,0.22532737255096436,0.003
0032/Brad_Johnson_0002,0.2403927743434906,0.023
0033/Brian_Griese_0001,0.2327273041009903,0.093
0034/Candice_Bergen_0001,0.2189193069934845,0.048
0035/Candice_Bergen_0002,0.2454385608434677,-0.036
0036/Carla_Myers_0001,0.2873714566230774,0.024
0037/Cathy_Freeman_0001,0.23808343708515167,-0.021
0038/Chang_Dae-whan_0001,0.2824746370315552,0.04
0039/Charles_Grassley_0001,0.28310662508010864,0.172
0040/Clare_Short_0001,0.20111781358718872,0.061
0041/Clare_Short_0001,0.26881033182144165,0.07
0042/Corinne_Coman_0001,0.2640564739704132,-0.124
0043/Dai_Bachtiar_0001,0.23822566866874695,-0.077
0044/Dale_Earnhardt_Jr_0001,0.24504081904888153,-0.067
0045/David_Caruso_0001,0.24568679928779602,-0.058
0046/Demi_Moore_0001,0.27936044335365295,-0.047
0047/Dick_Vermeil_0001,0.20552609860897064,0.058
0048/Doris_Roberts_0001,0.2604529559612274,0.154
0049/Doris_Roberts_0001,0.2798481285572052,0.01
0050/Drew_Barrymore_0001,0.3028672933578491,-0.156
0051/Edmund_Stoiber_0004,0.25078830122947693,0.072
0052/Edmund_Stoiber_0005,0.2510036826133728,0.082
0053/Edmund_Stoiber_0007,0.18486380577087402,0.005
0054/Edmund_Stoiber_0009,0.23340365290641785,0.061
0055/Elinor_Caplan_0001,0.2903107702732086,0.003
0056/Emmanuelle_Beart_0001,0.19341698288917542,-0.089
0057/Emmanuelle_Beart_0001,0.19247187674045563,-0.009
0058/Federico_Trillo_0001,0.24369503557682037,-0.04
0059/Federico_Trillo_0001,0.18422876298427582,-0.07
0060/Federico_Trillo_0002,0.24240854382514954,-0.12
0061/Francis_Ford_Coppola_0001,0.20662714540958405,0.12
0062/Fred_Thompson_0001,0.2867753803730011,0.022
0063/Fred_Thompson_0001,0.2753099799156189,0.051
0064/Fred_Thompson_0002,0.2737235426902771,0.018
0065/Garry_Trudeau_0001,0.3265599012374878,-0.02
0066/Gary_Williams_0001,0.2761496603488922,-0.072
0067/Gene_Robinson_0001,0.29996341466903687,0.0
0068/Gene_Robinson_0001,0.19854018092155457,0.035
0069/Gene_Robinson_0002,0.2161729484796524,0.094
0070/George_Galloway_0001,0.17141909897327423,0.07
0071/George_Galloway_0002,0.3477863073348999,-0.047
0072/George_Galloway_0002,0.2697342336177826,0.024
0073/Geraldine_Chaplin_0001,0.21562279760837555,0.009
0074/Geraldine_Chaplin_0001,0.26650720834732056,0.009
0075/Geraldine_Chaplin_0003,0.23471888899803162,-0.006
0076/Gerardo_Gambala_0001,0.4118984341621399,-0.034
0077/Gian_Marco_0001,0.23269689083099365,0.006
0078/Gian_Marco_0002,0.2376369833946228,0.026
0079/Gillian_Anderson_0001,0.21379034221172333,-0.002
0080/Gordon_Brown_0006,0.251905232667923,-0.044
0081/Gordon_Brown_0010,0.22790223360061646,-0.088
0082/Grant_Hackett_0001,0.2810634970664978,0.026
0083/Grant_Hackett_0001,0.32173410058021545,-0.053
0084/Grant_Hackett_0001,0.30837300419807434,-0.137
0085/Gray_Davis_0007,0.2810520529747009,-0.107
0086/Gray_Davis_0021,0.24129220843315125,-0.157
0087/Gregg_Popovich_0001,0.2528460621833801,-0.04
0088/Gregg_Popovich_0003,0.26317650079727173,0.11
0089/Guy_Ritchie_0001,0.23492978513240814,-0.036
0090/Hamzah_Haz_0001,0.20343801379203796,0.069
0091/Harbhajan_Singh_0001,0.41100141406059265,-0.007
0092/Hootie_Johnson_0001,0.24238163232803345,-0.03
0093/Hugo_Chavez_0002,0.2031882107257843,-0.018
0094/Hugo_Chavez_0027,0.22279682755470276,0.017
