filename,MAE,Cosine Distance
0000/Abdel_Madi_Shabneh_0001,0.26319146156311035,0.01
0001/Abdel_Madi_Shabneh_0001,0.262789249420166,0.043
0002/Abdel_Madi_Shabneh_0001,0.3453715443611145,0.097
0003/Abdul_Rahman_0001,0.3758907616138458,-0.038
0004/Abel_Pacheco_0001,0.22998610138893127,0.182
0005/Abel_Pacheco_0002,0.25552091002464294,0.005
0006/Afton_Smith_0001,0.26290422677993774,-0.09
0007/Ahmad_Jbarah_0001,0.24467766284942627,0.04
0008/Akhmed_Zakayev_0002,0.20104855298995972,0.085
0009/Alan_Dershowitz_0001,0.26846152544021606,0.013
0010/Alanis_Morissette_0001,0.23329463601112366,-0.006
0011/Alexander_Lukashenko_0001,0.2455504834651947,-0.069
0012/Alfonso_Cuaron_0001,0.29184651374816895,-0.02
0013/Alfonso_Cuaron_0001,0.2926322817802429,0.109
0014/Alfonso_Soriano_0001,0.2523392140865326,-0.071
0015/Alfonso_Soriano_0001,0.1848866045475006,-0.054
0016/Alfonso_Soriano_0001,0.2270282506942749,0.111
0017/Alonzo_Mourning_0001,0.27108678221702576,-0.091
0018/Amber_Tamblyn_0002,0.20192267000675201,-0.006
0019/Amporn_Falise_0001,0.19607602059841156,-0.125
0020/Anders_Fogh_Rasmussen_0002,0.29844430088996887,-0.053
0021/Andre_Bucher_0001,0.21477262675762177,-0.028
0022/Andre_Bucher_0001,0.26433172821998596,0.013
0023/Andrew_Gilligan_0001,0.218687504529953,0.005
0024/Andrew_Shutley_0001,0.20683301985263824,0.086
0025/Andrew_Shutley_0001,0.17851492762565613,-0.064
0026/Andrew_Shutley_0001,0.25707024335861206,0.053
0027/Andy_Dick_0001,0.2881629467010498,-0.066
0028/Andy_Griffith_0001,0.21954376995563507,0.063
0029/Andy_Wisecarver_0001,0.22856125235557556,0.136
0030/Angela_Lansbury_0001,0.24686788022518158,-0.036
0031/Angela_Lansbury_0002,0.21900594234466553,-0.125
0032/Ann_Veneman_0006,0.23348452150821686,-0.021
0033/Ann_Veneman_0008,0.20785623788833618,-0.075
0034/Annie-Jeanne_Reynaud_0001,0.19897869229316711,0.071
0035/Anthony_Carter_0001,0.35302290320396423,-0.01
0036/Antonio_Cassano_0001,0.22700046002864838,0.039
0037/Anwar_Ibrahim_0001,0.2376783788204193,-0.075
0038/Armand_Sargen_0001,0.30384913086891174,0.038
0039/Armand_Sargen_0001,0.3211669921875,0.009
0040/Armand_Sargen_0001,0.21665418148040771,-0.069
